-------------------------------------------------------------
Query 3 - RDD API Output
(Genre, (Genre rating, Movies in genre))
('Action', (3.158532929451071, 1175))
('Adventure', (3.168709062525581, 707))
('Animation', (3.175885456020015, 223))
('Comedy', (3.1370494677399536, 2113))
('Crime', (3.162583937888231, 907))
('Documentary', (3.0742356093239853, 503))
('Drama', (3.13912162429145, 3724))
('Family', (3.1569054919202837, 386))
('Fantasy', (3.142913521900702, 463))
('Foreign', (3.113985834407914, 271))
('History', (3.118791045849541, 306))
('Horror', (3.1340202623924758, 723))
('Music', (3.189047782134767, 248))
('Mystery', (3.148769392655548, 475))
('Romance', (3.1562777018393633, 1206))
('Science Fiction', (3.1571636839139874, 593))
('TV Movie', (3.148118069220998, 87))
('Thriller', (3.148281748166091, 1427))
('War', (3.1146633826061416, 231))
('Western', (3.2140607181871017, 185))
-------------------------------------------------------------
