+---------------+-----------+------------------+
|genre          |movie_count|average_rating    |
+---------------+-----------+------------------+
|Action         |1175       |3.1585329294510704|
|Adventure      |707        |3.16870906252558  |
|Animation      |223        |3.1758854560200143|
|Comedy         |2113       |3.137049467739953 |
|Crime          |907        |3.16258393788823  |
|Documentary    |503        |3.0742356093239827|
|Drama          |3724       |3.1391216242914504|
|Family         |386        |3.156905491920284 |
|Fantasy        |463        |3.1429135219007005|
|Foreign        |271        |3.113985834407914 |
|History        |306        |3.118791045849541 |
|Horror         |723        |3.134020262392476 |
|Music          |248        |3.1890477821347667|
|Mystery        |475        |3.148769392655549 |
|Romance        |1206       |3.156277701839365 |
|Science Fiction|593        |3.157163683913986 |
|TV Movie       |87         |3.148118069220997 |
|Thriller       |1427       |3.1482817481660916|
|War            |231        |3.1146633826061425|
|Western        |185        |3.2140607181871   |
+---------------+-----------+------------------+

