+---------------+-----------+------------------+
|genre          |movie_count|average_rating    |
+---------------+-----------+------------------+
|Action         |1175       |3.1585329294510713|
|Adventure      |707        |3.1687090625255787|
|Animation      |223        |3.175885456020016 |
|Comedy         |2113       |3.1370494677399545|
|Crime          |907        |3.1625839378882326|
|Documentary    |503        |3.074235609323984 |
|Drama          |3724       |3.139121624291451 |
|Family         |386        |3.156905491920284 |
|Fantasy        |463        |3.142913521900701 |
|Foreign        |271        |3.1139858344079143|
|History        |306        |3.1187910458495414|
|Horror         |723        |3.134020262392476 |
|Music          |248        |3.1890477821347667|
|Mystery        |475        |3.148769392655547 |
|Romance        |1206       |3.1562777018393646|
|Science Fiction|593        |3.157163683913987 |
|TV Movie       |87         |3.1481180692209967|
|Thriller       |1427       |3.1482817481660903|
|War            |231        |3.1146633826061416|
|Western        |185        |3.2140607181871013|
+---------------+-----------+------------------+

